Date,Time,PM25,PM10,IAQ,HCHO,CO2,P,TIN,TOUT,RHIN,RHOUT,LAT,LON,HDG,AMSL,AGL,MIL,NO2,NO,SO2,H2S,CO,HCN,HCL,NH3,EC,MRK
2024-12-05,06:56:40,39,72.4,159,81,1622,99.994,8.5,8.6,99.9,99.9,50.0783306,22.0365079,8.06,222.49,10.953,415,0,0,0,0.002,0,0.836,0.019,0.205,16,0
2024-12-05,06:56:41,38.9,72.35,159,81,1622,99.994,8.5,8.6,99.9,99.9,50.0783306,22.0365079,8.06,222.49,10.953,302.5,0,0,0,0.002,0,0.6925,0.0295,0.205,16,0
2024-12-05,06:56:42,38.8,72.3,159,81,1622,99.994,8.5,8.6,99.9,99.9,50.0783306,22.0365079,8.06,222.49,10.953,190,0,0,0,0.002,0,0.549,0.04,0.205,16,0
2024-12-05,06:56:43,38.5,71.6,159,81,1622,100,8.5,8.6,99.9,99.9,50.0783306,22.0365079,8.06,222.49,10.953,80,0,0,0,0.002,0,0.779,0.056,0.18,16,0
2024-12-05,06:56:44,38.5,72.9,159,81,1618,100,8.5,8.7,99.9,99.9,50.0783306,22.0365079,8.06,222.49,10.953,388,0,0,0,0.002,0,0.813,0.056,0.18,16,0
2024-12-05,06:56:45,38.5,72.9,159,83,1629,99.99,8.5,8.7,99.9,99.9,50.0783306,22.0365079,8.06,222.49,10.953,278,0,0,0,0.002,0,0.825,0.056,0.175,16,0
2024-12-05,06:56:46,38.85,74.65,159.5,83.5,1627,99.99,8.5,8.649999999999999,99.9,99.9,50.0783306,22.0365079,8.06,222.49,10.953,376,0,0,0,0.002,0,0.6944999999999999,0.042,0.175,16,0
2024-12-05,06:56:47,39.2,76.4,160,84,1625,99.99,8.5,8.6,99.9,99.9,50.0783306,22.0365079,8.06,222.49,10.953,474,0,0,0,0.002,0,0.564,0.028,0.175,16,0
2024-12-05,06:56:48,39.4,76.8,161,84,1623,99.997,8.5,8.6,99.9,99.9,50.0783306,22.0365079,8.06,222.49,10.953,364,0,0,0,0.002,0,0.36,0.148,0.17,16,0
2024-12-05,06:56:49,39.4,76.8,161,84,1614,99.997,8.5,8.6,99.9,99.9,50.0783306,22.0365079,8.06,222.49,10.953,252,0,0,0,0.002,0,0.362,0.148,0.17,16,0
2024-12-05,06:56:50,39.75,78.85,160.5,84,1613,100.0025,8.5,8.55,99.9,99.9,50.0783306,22.0365079,8.06,222.49,10.953,351,0,0,0,0.0015,0,0.4185,0.148,0.17,16,0
2024-12-05,06:56:51,40.1,80.9,160,84,1612,100.008,8.5,8.5,99.9,99.9,50.0783306,22.0365079,8.06,222.49,10.953,450,0,0,0,0.001,0,0.475,0.148,0.17,16,0
2024-12-05,06:56:52,40.2,80,159,84,1611,100.008,8.5,8.5,99.9,99.9,50.0783306,22.0365079,8.06,222.49,10.953,340,0,0,0,0.001,0,0.47,0.054,0.18,16,0
2024-12-05,06:56:53,40.34285714285715,80.32857142857142,158.86,84,1609.43,100.0082857142857,8.485714285714286,8.5,99.9,99.9,50.0783306,22.0365079,8.06,222.49,10.953,349,0,0,0,0.001,0,0.432,0.05514285714285714,0.17928571428571427,16,0
2024-12-05,06:56:54,40.48571428571429,80.65714285714286,158.71,84,1607.86,100.00857142857143,8.471428571428572,8.5,99.9,99.9,50.0783306,22.0365079,8.06,222.49,10.953,358,0,0,0,0.001,0,0.39399999999999996,0.056285714285714286,0.17857142857142858,16,0
2024-12-05,06:56:55,40.62857142857143,80.98571428571428,158.57,84,1606.29,100.00885714285714,8.457142857142857,8.5,99.9,99.9,50.0783306,22.0365079,8.06,222.49,10.953,367,0,0,0,0.001,0,0.356,0.057428571428571426,0.17785714285714285,16,0
2024-12-05,06:56:56,40.77142857142857,81.31428571428572,158.43,84,1604.71,100.00914285714286,8.442857142857143,8.5,99.9,99.9,50.0783306,22.0365079,8.06,222.49,10.953,376,0,0,0,0.001,0,0.31799999999999995,0.05857142857142857,0.17714285714285713,16,0
2024-12-05,06:56:57,40.91428571428572,81.64285714285714,158.29,84,1603.14,100.00942857142857,8.428571428571429,8.5,99.9,99.9,50.0783306,22.0365079,8.06,222.49,10.953,385,0,0,0,0.001,0,0.27999999999999997,0.05971428571428571,0.1764285714285714,16,0
2024-12-05,06:56:58,41.05714285714286,81.97142857142858,158.14,84,1601.57,100.0097142857143,8.414285714285715,8.5,99.9,99.9,50.0783306,22.0365079,8.06,222.49,10.953,394,0,0,0,0.001,0,0.24199999999999997,0.06085714285714286,0.1757142857142857,16,0
2024-12-05,06:56:59,41.2,82.3,158,84,1600,100.01,8.4,8.5,99.9,99.9,50.0783306,22.0365079,8.06,222.49,10.953,403,0,0,0,0.001,0,0.204,0.062,0.175,16,0
2024-12-05,06:57:00,41.5,82.6,157,84,1612,100.001,8.4,8.5,99.9,99.9,50.0783306,22.0365079,8.06,222.49,10.953,293,0,0,0,0.001,0,0.13,0.146,0.17,16,0
2024-12-05,06:57:01,41.5,82.6,157,84,1611,100.001,8.4,8.5,99.9,99.9,50.0783306,22.0365079,8.06,222.49,10.953,181,0,0,0,0.001,0,0.455,0.146,0.17,16,0
2024-12-05,06:57:02,41.78333333333333,82.98333333333333,156.83,83.5,1607.67,100.00133333333333,8.383333333333333,8.5,99.9,99.9,50.0783306,22.0365079,8.06,222.49,10.953,209.83,0,0,0,0.001,0,0.5473333333333333,0.12416666666666666,0.17083333333333334,16,0
