Date,Time,PM25,PM10,IAQ,HCHO,CO2,P,TIN,TOUT,RHIN,RHOUT,LAT,LON,HDG,AMSL,AGL,MIL,NO2,NO,SO2,H2S,CO,HCN,HCL,NH3,EC,MRK
2024-11-12,11:24:08,49,60,,0,392.8956909,1002.7700195,3.2,4.5,75.5999985,72.1999969,50.053463,21.9362106,150.3200073,226.7299957,0.115,840,0.014,,,,,,0,,0,0
2024-11-12,11:24:09,48,61,,0,395.686676,1002.710022,3.2,4.5,74.5,72.1999969,50.053463,21.9362106,150.3300018,226.7599945,0.147,823,0.013,,,,,,0,,0,0
2024-11-12,11:24:10,48,58,,0,397.7132263,1002.710022,3.2,4.4000001,74.5,71.8000031,50.053463,21.9362106,150.3600006,226.7299957,0.115,854,0.013,,,,,,0,,0,0
2024-11-12,11:24:11,48,58,,0,396.5119934,1002.7299805,3.2,4.4000001,74.5,71.8000031,50.053463,21.9362106,150.3699951,226.6699982,0.052,842,0.013,,,,,,0,,0,0
2024-11-12,11:24:12,47,55,,0,392.5708313,1002.7299805,3.3,4.4000001,74.0999985,70.5999985,50.053463,21.9362087,150.3899994,226.5899963,-0.021,824,0.013,,,,,,0,,0,0
2024-11-12,11:24:13,48,56,,0,392.912262,1002.710022,3.3,4,74.0999985,70.5999985,50.053463,21.9362087,150.3999939,226.5500031,-0.062,857,0.013,,,,,,0,,0,0
2024-11-12,11:24:14,49,61,,0,394.8000488,1002.710022,3.3,4,76.0999985,70.5999985,50.053463,21.9362087,150.4100037,226.5200043,-0.095,849,0.013,,,,,,0,,0,0
2024-11-12,11:24:15,49,61,,0,396.1631165,1002.710022,3.3,4.1999998,76.0999985,71.9000015,50.053463,21.9362087,150.4400024,226.4700012,-0.146,833,0.013,,,,,,0,,0,0
2024-11-12,11:24:16,49,62,,0,396.9055786,1002.7399902,3.3,4.1999998,76.0999985,71.9000015,50.0534592,21.9362087,150.4900055,226.4600067,-0.153,863,0.013,,,,,,0,,0,0
2024-11-12,11:24:17,52,63,,0,393.365448,1002.7399902,3.3,4.0999999,74.0999985,70.6999969,50.0534592,21.9362087,150.5,226.4499969,-0.168,849,0.013,,,,,,0,,0,0
2024-11-12,11:24:18,52,65,,0,392.4622498,1002.7399902,3.3,4.0999999,74.0999985,70.6999969,50.0534592,21.9362087,150.5099945,226.4600067,-0.151,830,0.013,,,,,,0,,0,0
2024-11-12,11:24:19,52,65,,0,393.0383606,1002.7399902,3.3,4.0999999,76,70.6999969,50.0534592,21.9362068,150.5200043,226.4900055,-0.128,863,0.013,,,,,,0,,0,0
2024-11-12,11:24:20,52,65,,0,395.9476318,1002.7399902,3.3,4.0999999,76,69.5,50.0534592,21.9362068,150.5200043,226.3300018,-0.282,854,0.013,,,,,,0,,0,0
2024-11-12,11:24:21,52,65,,0,396.1482239,1002.6900024,3.5,4.0999999,75.1999969,69.5,50.053463,21.9362068,150.5500031,226.25,-0.368,830,0.013,,,,,,0,,0,0
2024-11-12,11:24:22,52,65,,0,392.290863,1002.6900024,3.5,4,75.1999969,70.6999969,50.053463,21.9362068,150.5899963,226.2100067,-0.405,865,0.013,,,,,,0,,0,0
2024-11-12,11:24:23,52,65,,0,392.0293579,1002.6699829,3.5,4,75.1999969,70.6999969,50.053463,21.9362068,150.5899963,226.2200012,-0.399,855,0.013,,,,,,0,,0,0
2024-11-12,11:24:24,52,65,,0,394.3800049,1002.6699829,3.3,4.1999998,73.9000015,71,50.053463,21.9362068,150.5800018,226.25,-0.361,845,0.013,,,,,,0,,0,0
2024-11-12,11:24:25,52,65,,0,396.0873108,1002.6699829,3.3,4.1999998,73.9000015,71,50.053463,21.9362068,150.5399933,226.2899933,-0.324,851,0.013,,,,,,0,,0,0
2024-11-12,11:24:26,52,65,,0,395.5929871,1002.7800293,3.2,4.1999998,75.0999985,71,50.053463,21.9362068,150.5399933,226.3200073,-0.299,835,0.013,,,,,,0,,0,0
2024-11-12,11:24:27,53,68,,0,391.8401184,1002.7800293,3.2,4.1999998,75.0999985,72.5999985,50.0534592,21.9362068,150.5500031,226.3399963,-0.277,867,0.013,,,,,,0,,0,0
2024-11-12,11:24:28,54,69,,0,392.2580872,1002.7999878,3.2,4.1999998,74.8000031,72.5999985,50.0534592,21.9362068,150.5599976,226.3899994,-0.223,859,0.013,,,,,,0,,0,0
2024-11-12,11:24:29,54,69,,0,395.2971802,1002.7999878,3.2,3.8,74.8000031,71.3000031,50.0534592,21.9362068,150.5500031,226.5,-0.115,839,0.013,,,,,,0,,0,0
2024-11-12,11:24:30,54,69,,0,397.5558167,1002.75,3.2,3.8,74.8000031,71.3000031,50.0534592,21.9362087,150.5899963,226.4100037,-0.204,872,0.013,,,,,,0,,0,0
2024-11-12,11:24:31,54,67,,0,396.7334595,1002.75,3.2,3.8,75.5999985,71.3000031,50.053463,21.9362087,150.6000061,226.3699951,-0.249,858,0.013,,,,,,0,,0,0
2024-11-12,11:24:32,54,67,,0,392.1213684,1002.75,3.2,4.0999999,75.5999985,70.4000015,50.053463,21.9362087,150.6199951,226.3200073,-0.292,838,0.013,,,,,,0,,0,0
2024-11-12,11:24:33,54,67,,0,392.2400208,1002.789978,2.9000001,4.0999999,75.0999985,70.4000015,50.053463,21.9362087,150.6300049,226.3200073,-0.294,875,0.013,,,,,,0,,1,0
2024-11-12,11:24:34,55,69,,0,394.7104492,1002.789978,2.9000001,4.0999999,75.0999985,71.5,50.053463,21.9362087,150.6499939,226.3200073,-0.29,863,0.013,,,,,,0,,0,0
